date,is_boarded,fire,homeless,address,zip_code,ward,community_area,latitude,longitude
2018-12-01,0,0,1,8219 S marquette ave,60617,7,46,41.74602740326264,-87.5588574591493
2018-12-01,0,0,1,5240 S honore st,60609,16,61,41.79871662739555,-87.6707911802063
2018-12-01,1,0,0,4247 W west end ave,60624,28,26,41.883290557025106,-87.73181843850506
2018-12-02,0,0,0,2219 S kedvale ave,60623,22,29,41.850912816898735,-87.72797233324675
2018-12-02,0,0,0,108 W 113th pl,60628,34,49,41.68800994873794,-87.62585593871631
2018-12-02,0,0,0,3329 W van buren st,60624,28,27,41.87546533131335,-87.70962015473309
2018-12-02,0,0,1,4626 W adams st,60644,28,25,41.878091531042706,-87.74110670860908
2018-12-02,0,0,1,7115 S homan ave,60629,17,66,41.763867610826004,-87.70768810148401
2018-05-02,0,0,1,958 W 36th st,60609,11,60,41.828626641369866,-87.64970738874125
2018-05-02,0,0,0,435 E 88th pl,60619,9,44,41.73377604565521,-87.61359759033506
2018-05-02,1,0,0,1443 E 65th st,60637,20,42,41.77693979922581,-87.58958074385636
2018-05-02,0,0,0,7700 S racine ave,60620,17,71,41.75413666627739,-87.65383420637944
2018-05-02,0,0,0,6323 S honore st,60636,15,67,41.77894982290133,-87.67027582628138
2018-05-02,0,0,0,8944 S dauphin ave,60619,8,44,41.731951963435826,-87.60226412886776
2018-05-02,0,0,0,5930 S dr martin luther king jr dr,60637,20,40,41.78696993424062,-87.61578930787188
2018-05-02,0,0,0,4650 S racine ave,60609,20,61,41.81056146878548,-87.65519938691443
2018-05-02,0,0,0,4636 S marshfield ave,60609,15,61,41.80974603837992,-87.66621957187316
2018-05-02,0,0,1,629 N lawndale ave,60624,27,23,41.89230251132933,-87.71866110487393
2018-05-02,0,0,1,4545 S hermitage ave,60609,15,61,41.811381162346045,-87.66869105093572
2018-05-02,0,0,0,6323 S wood st,60636,15,67,41.77896631428715,-87.6690714310642
2018-05-02,0,0,0,3301 S ashland ave,60608,12,59,41.83415432148832,-87.66565200813628
